text,DRINKS#PRICES,DRINKS#STYLE&OPTIONS,RESTAURANT#PRICES,FOOD#QUALITY,RESTAURANT#GENERAL,SERVICE#GENERAL,DRINKS#QUALITY,AMBIENCE#GENERAL,FOOD#STYLE&OPTIONS,RESTAURANT#MISCELLANEOUS,FOOD#PRICES,LOCATION#GENERAL,number_of_text
ở đây đến lần đầu do gần nhà ghé qua thử .,0,0,0,0,0,0,0,0,0,0,0,2,11
đây là quán mình đến ăn với số lần nhiều nhất .,0,0,0,0,3,0,0,0,0,0,0,0,11
nhân viên phục vụ thân thiện dễ thương .,0,0,0,0,0,3,0,0,0,0,0,0,8
và cho mình thưởng thức món yêu thích nhất của mính nơi đây đó chính là bò nướng á nha .,0,0,0,0,3,0,0,0,0,0,0,0,21
trà khá thanh không bị đặc vị trà quá .,0,0,0,0,0,0,3,0,0,0,0,0,9
thực sự thì boston vẫn là nhất vẫn là số 1 mặt cười .,0,0,0,3,0,0,0,0,0,0,0,0,12
"view đẹp , trang trí phong cách dân dã miền quê .",0,0,0,0,0,0,0,3,0,0,0,0,10
thức ăn nguội .,0,0,0,1,0,0,0,0,0,0,0,0,3
"sốt kem nấm nhưng không khác sốt nấm lắm , có mùi béo tí thôi , màu sáng hơn , ngọt nhẹ .",0,0,0,2,0,0,0,0,0,0,0,0,19
"hình thức trình bày đẹp mắt , sạch sẽ .",0,0,0,0,3,0,0,0,0,0,0,0,8
nếu bạn đi ăn 2 người thì chỉ cần gọi 1 suất chả cá và 1 suất lòng cá để thưởng thức cùng với bún và mắm tôm .,0,0,0,0,0,0,0,0,2,0,0,0,28
"cơm hạt săn mà mềm nhé , sốt bbq thì dễ ăn nhất quả đấy rồi , phủ ngập sốt vào sườn luôn .",0,0,0,3,0,0,0,0,3,0,0,0,21
nghe bảo popeyes là thương hiệu của phillip nguyễn thì phải mặt cười không vui .,0,0,0,0,2,0,0,0,0,0,0,0,12
quán nên chú ý hỏi xem khách muốn ăn lúc nào để mang đồ lên cho vừa chứ mang 1 lúc như vậy để nguội hết .,0,0,0,0,0,2,0,0,0,0,0,0,26
mình chỉ hơi không thích rải thẳng vani đậm đặc lên kem .,0,0,0,0,0,0,0,0,1,0,0,0,12
"bình thường toàn uống alisan vs oloong và aiyu , nên hoom đó quyết tâm thử món mới xem biết đâu lại ngon .",0,2,0,0,0,0,0,0,0,0,0,0,22
phần trang trí bên trên bánh thì lại khá hào phóng .,0,0,0,0,0,0,0,0,3,0,0,0,11
"giá cả với chất lượng là tương xứng , thêm 10 phần trămvat nha .",0,0,3,0,3,0,0,0,0,2,0,0,12
tầng 1 và tầng 2 ngồi ghế còn tầng 3 ngồi bệt .,0,0,0,0,2,0,0,0,0,0,0,0,12
"mới phát hiện ra quán này siêu đẹp với tông màu trắng công chúa này , decor các góc và bàn ghế style châu âu và tủ đựng ấm , chén siêu xinh luôn .",0,0,0,0,0,0,0,3,0,0,0,0,32
"quán không có diện tích nên phải vòng qua đường hoàng việt gởi xe hơi bất tiện nhưng khoản nhân viên giữ xe lại rất lịch sự , dễ thương nên chấp nhận được .",0,0,0,0,0,3,0,0,0,1,0,0,33
chương trình của lotteria hôm đó hình như combo là 37k mà gồm gà và khoai tây lắc .,0,0,0,0,0,0,0,0,0,0,2,0,18
"toast matcha kem trà xah ngon , bánh ngon , thích nhất cái cục gì xanh xanh á khuôn mặt với những giọt nước mắt của niềm vui .",0,0,0,3,0,0,0,0,0,0,0,0,17
đồ ăn thì phải nói quá bình thường .,0,0,0,2,0,0,0,0,0,0,0,0,8
với thịt bò úc thơm ngon vừa dai vừa mềm cộng với phần nướng vừa chính 100 nên mình cảm thấy ăn rất ngon .,0,0,0,3,0,0,0,0,0,0,0,0,24
nhân viên lễ phéo .,0,0,0,0,0,3,0,0,0,0,0,0,4
"hẹn giao hàng nhanh chóng , đúng giờ .",0,0,0,0,0,3,0,0,0,0,0,0,7
"ngon và tốt cho sức khỏe , các bạn nhân viên tư vấn nhiệt tình .",0,0,0,0,3,3,0,0,0,0,0,0,14
quán lại chỉ cho tương ớt ko có tương gà .,0,0,0,0,0,0,0,0,2,0,0,0,10
mình gọi top blade 150k với sốt nấm súp bí đỏ .,0,0,0,0,0,0,0,0,2,0,2,0,12
ngoài ra còn thử cả socola nóng và latte vị cookies .,0,2,0,0,0,0,0,0,0,0,0,0,11
"toast giòn , khá ngon và ngán , 1 phần chắc 3 ng ăn cho đỡ ngán , mà bạn ttai mình ko thích béo nhưng lại thích món này mặt cười không vui .",0,0,0,3,0,0,0,0,2,0,0,0,28
"mình kêu trà sữa trân châu tím , ngon lắm luôn á khuôn mặt với những giọt nước mắt của niềm vui khuôn mặt với những giọt nước mắt của niềm vui .",0,0,0,0,0,0,3,0,0,0,0,0,12
"mình đi ăn ở đây mấy lần r đều hài lòng , ăn rất ngon no rẻ .",0,0,0,3,3,0,0,0,3,0,3,0,18
"quán vỉa hè nằm ngay góc nên dễ tìm , không gian nhỏ .",0,0,0,0,0,0,0,1,0,0,0,3,12
"nhân viên cũng nhiệt tình tư vấn các bị kem cho tụi mình , cho tụi mình thử vị kem nữa .",0,0,0,0,0,3,0,0,0,0,0,0,20
"được cái quán trang trí cũng bắt mắt , nhân viên phục vụ ok .",0,0,0,0,0,3,0,3,0,0,0,0,13
85k cho 1 cái bánh to hơn 2 ngón tay 1 tý .,0,0,0,0,0,0,0,0,2,0,1,0,12
"mình gọi 1 bánh carrot , 1 sinh tố banana almond , 1 trà đào , được tặng thêm 1 bánh chocolate grab .",0,0,0,0,0,0,0,0,3,3,0,0,20
"phân vân chọn mãi , tưởnh phạm ngọc thạch ngon ai ngờ ăn chán quá ạ .",0,0,0,0,1,0,0,0,0,0,0,0,15
"quán đông nhưng vẫn cố nhận thêm khách nên khả năng phục vụ không đảm bảo phải kê thêm bàn nhưng bàn ghế , khăn trải nhìn thấy cũ và bẩn , máy lạnh thì chạy không nổi nên rất nóng .",0,0,0,0,0,1,0,1,0,1,0,0,39
nước có đặc biệt là trà gừng uống khá ngon mùi gần lấn mùi trà nên ai ko uống đc dễ bỏ lắm .,0,0,0,0,0,0,3,0,0,0,0,0,23
"trà sữa olong king 913 ngon , thơm mùi trà , béo vị sữa .",0,0,0,0,0,0,3,0,0,0,0,0,12
"mình thích bánh đa ở đây , có gia vị chứ không phải lạt lạt như những quán khác , đậm đà ngon .",0,0,0,3,0,0,0,0,0,0,0,0,21
đinh ghim tròn 43 3 4 4 lê đại hành q11 .,0,0,0,0,0,0,0,0,0,0,0,2,8
"tổng hóa đơn hôm ấy khoảng hơn 900 k , 1 tr .",0,0,2,0,0,0,0,0,0,0,0,0,10
"nếu nói quay lại thì chắc là không , vì tất cả .",0,0,0,0,1,0,0,0,0,0,0,0,11
mình mua thức uống đặc biệt vì mình ghiền milk foam của quán .,0,0,0,0,0,0,3,0,0,0,0,0,13
không gian rộng rãi có 1 lầu .,0,0,0,0,0,0,0,3,0,0,0,0,7
"bánh canh ghẹ ở đây có vẻ khá là nổi tiếng , dc nhiều ng biết đến .",0,0,0,3,3,0,0,0,0,0,0,0,16
giá hình như 535k .,0,0,2,0,0,0,0,0,0,0,0,0,4
"lớp kem cheese cũng nhiều , đặc và vị vừa khuôn mặt cười với đôi mắt cười khuôn mặt cười với đôi mắt cười .",0,3,0,0,0,0,3,0,0,0,0,0,10
"mình hay ăn gỏi trái vả , lần 2 gỏi chua mùi lên men , tôm nhàu nát ko tươi .",0,0,0,1,0,0,0,0,1,0,0,0,18
mình order 1 tô phở thập cẩm lớn 1 tiết hột gà .,0,0,0,0,0,0,0,0,2,0,0,0,13
được một đĩa ít kinh .,0,0,0,0,0,0,0,0,1,0,0,0,5
bữa đó đi ăn ngay thứ 3 nên có chương trình mua 1 tặng 1 .,0,0,0,0,0,0,0,0,0,3,0,0,15
"không hiểu do tâm lí , cách nêm hay cả 2 mà thấy món ăn nó nhàn nhạt , không đậm đà như mong đợi .",0,0,0,1,0,0,0,0,0,0,0,0,23
"nước uống cũng ok , không dở nhưng không có gì đặc biệt .",0,0,0,0,0,0,2,0,0,0,0,0,12
các set ở đây đc trình bày đẹp và ăn cũng khá là tươi nữa .,0,0,0,3,0,0,0,0,3,0,0,0,15
"nước dùng rất ngon nhé , trong và ngọt xương .",0,0,0,3,0,0,0,0,0,0,0,0,9
"khoai tây chiên giòn , cắt miếng dài , vừa ăn .",0,0,0,3,0,0,0,0,3,0,0,0,9
"quán đẹp , nhân viên thân thiện , đồ ăn ngon .",0,0,0,3,0,3,0,3,0,0,0,0,9
"bún thịt nướng cũng khá ngon nhé , thịt được nướng sẵn nên không thơm và nóng .",0,0,0,3,0,0,0,0,0,0,0,0,16
"nhân viên ở đây cũng dễ thương , thân thiện lắm .",0,0,0,0,0,3,0,0,0,0,0,0,10
mua 1 tặng 1 khi mua kèm nước ai tiết kiệm có thể mua nước suối rẻ hơn nha .,0,0,0,0,0,0,0,0,0,3,0,0,19
"về chất lượng đồ ăn thì combo gồm như trong ảnh , 1 cơm rang cùng sườn phủ phô mai , 1 pizza size s hay size mini gì đấy mình k rõ nữa , bánh mì bơ tỏi , salad , hành vòng , khoai tây và 2 miếng gà .",0,0,0,0,0,0,0,0,2,0,0,0,45
hồng trà thơm ngọt thanh vừa đủ mặc dù không giảm đường đá gi bộ chọn trái tim màu đỏ .,0,0,0,0,0,0,3,0,0,0,0,0,14
món bánh trôi nóng thơm mè và ấm bụng lắm nhé .,0,0,0,3,0,0,0,0,0,0,0,0,11
điển hình như bò mỹ hôm đó ăn k thấy ngon .,0,0,0,1,0,0,0,0,0,0,0,0,11
mà giá rẻ hơn rất nhìu so vs kichi kichi hihi .,0,0,3,0,0,0,0,0,0,0,0,0,11
"được nhất là quả cơm sườn sốt bbq kia kìa , à há nó ngon hơn mong đợi nhiều nhiều .",0,0,0,3,0,0,0,0,3,0,0,0,19
"đang thèm ăn toast , thấy quán này bán đủ loại nên quyết định ra đây test .",0,0,0,0,3,0,0,0,0,0,0,0,16
l usine nổi tiếng với cafe và bristro sang chảnh với không gian thoáng và sáng .,0,0,0,0,3,0,0,3,0,0,0,0,17
"phục vụ nhiệt tình , thân thiện , lên món hơi chậm .",0,0,0,0,0,2,0,0,0,0,0,0,9
quán nằm trên hẻm nhỏ đường cao thắng .,0,0,0,0,0,0,0,0,0,0,0,2,8
"trang trí vẫn rất đẹp , phần bánh mới nướng nên ấm giòn kết hợp với dâu và kem và nước sốt thì khá ok .",0,3,0,3,0,0,0,0,0,0,0,0,24
mỗi hộp trà như này là có 25 gói .,0,2,0,0,0,0,0,0,0,0,0,0,9
wifi yếu lắm nhaa nch tới đây là vì toast rất đỉnh ghiền í .,0,0,0,3,0,0,0,0,0,1,0,0,14
"nửa cánh gà hết , chỉ còn thanh cá nhưng mình chọn gà , bạn nhân viên hiền lắm nói mình chuyển sang chọn thanh cá nhưng không nói lý do , mình ko bk nên ko chịu , bạn đó rối , thấy vậy mình hỏi nửa cánh gà hết rồi ha , thôi lấy thanh cá cũng được , mà nhìn ban đó hiền hiền sau đó .",0,0,0,0,0,3,0,0,2,0,0,0,62
"menu nhiều lựa chọn , giá cả ok , món ăn khá chất lượng .",0,0,0,3,0,0,0,0,3,0,3,0,12
thật chứ ăn hoài k biết ngán là gì luôn .,0,0,0,3,0,0,0,0,0,0,0,0,10
"trong lúc chờ đợi cơm gà viên và combo gà , bọn mình chén kem ốc quế 5k , tornado magic pop 25k .",0,0,0,0,0,0,0,0,2,0,2,0,23
"sẽ uống luôn được từ trà thơm đến kem , hòa cùng nhau trong miệng rất tinh tế .",0,2,0,0,0,0,3,0,0,0,0,0,17
"bữa thì có thêm cái gì đó chiên bột , khổ qua luộc hoặc nhồi thịt ốc giả .",0,0,0,0,0,0,0,0,2,0,0,0,17
mọi người có thể yêu cầu thêm món cơm nguội để ăn cùng .,0,0,0,0,0,0,0,0,3,0,0,0,13
"cả 2 phần đều được bày vào chảo gang , khi rưới nước sốt lên kêu xèo xèo nho nhỏ , vị nước sốt rất ngon .",0,0,0,3,0,0,0,0,3,0,0,0,24
phải nói sushi ở đây ngon tuyệt nha mấy bạn .,0,0,0,3,0,0,0,0,0,0,0,0,10
"phúc long trần cao vân ở ngay vòng xoay hồ con rùa , vị trí khá đẹp , gửi xe ngay trước cửa trên vỉa hè luôn dù thấy hơi chật chội .",0,0,0,0,0,0,0,0,0,1,0,3,30
giá cả cũng vậy khu trung tâm mà ko mắc hơn mấy chỗ kia .,0,0,3,3,0,0,0,0,0,0,0,0,14
quán nằm ngay đầu hẻm 606 nên khá dễ tìm .,0,0,0,0,0,0,0,0,0,0,0,3,10
hồng trà kem phomai 55 k nên giảm lượng đường để k bị quá ngọt .,2,0,0,0,0,0,2,0,0,0,0,0,15
"bàn mình thì đồ ăn ra nhanh , bàn khác mình thấy đợi mòn mỏi không hiểu sao .",0,0,0,0,0,2,0,0,0,0,0,0,17
"bạch tuộc tươi , ướp vừa , rắc thêm mỡ hành béo béo , đậu phộng bùi bùi , chấm tương ớt xanh mặn mặn .",0,0,0,3,0,0,0,0,3,0,0,0,21
"đây là món khiến mình chọn quán này , là món duy nhất mình thấy ngon và làm mình lưu luyến bắp tay gập 1 dĩa như vậy cũng khá nhiều , 2 người ăn là vừa nha .",0,0,0,3,0,0,0,0,3,0,0,0,34
combo được chuẩn bị hơi lâu nhưng ăn thấy đáng .,0,0,0,3,0,1,0,0,0,0,0,0,10
"nước súp ngon lắm nha , ngon ơi là ngon , vừa miệng lắm .",0,0,0,3,0,0,0,0,0,0,0,0,12
"mà đó là phần nhỏ á nha , cắt ra nó thơm phức .",0,0,0,3,0,0,0,0,0,0,0,0,12
"à mà topping bên pizza ocean toàn là hàng đông lạnh đóng gói í , không vấn đề gì nhưng nó cũng giảm vị ngon nữa .",0,0,0,2,0,0,0,0,0,0,0,0,25
nhân viên cũng bình thường không quá nhiệt tình vì mấy bạn ấy phải cắm mặt vào làm bánh mì không còn thời gian mà thân thiện với khách nữa khuôn mặt với những giọt nước mắt của niềm vui .,0,0,0,0,0,2,0,0,0,0,0,0,31
"trong này có phục vụ bữa tối , ngoài ra thì bữa trưa có buffet .",0,0,0,0,2,0,0,0,0,0,0,0,14
"kẹo mút chất lượng dịch vụ khá ổn , nhân viên phục vụ nhanh nhẹn , mỗi cái ghét là ko được quẹt thẻ cửa hàng tiện lợi gì mà kì .",0,0,0,0,0,3,0,0,0,1,0,0,30
"quán thiết kế theo kiểu cũ cũ trông khá lạ , độc đáo , tuy nhiên mình không thích cầu thang tầng 1 lắm vì hay có mấy chỗ bị bể dễ té lắm .",0,0,0,0,0,0,0,2,0,0,0,0,32
gà phô mai cũng khá là ngon nha .,0,0,0,3,0,0,0,0,0,0,0,0,8
"ý kiến riêng của mình là soup súp lơ ấy mùi hăng khó ăn lắm mấy bạn không nên gọi , suop bí đỏ thì ổn hơn .",0,0,0,1,0,0,0,0,2,0,0,0,26
mình thấy trên meete có giảm giá nên ghé quán thử .,0,0,0,0,0,0,0,0,0,2,0,0,11
mình cũng từng uống machiatto thì foam milk ở những quán khác thường ngọt và béo còn ở đây vị hơi mặn mặn .,0,0,0,0,0,0,2,0,0,0,0,0,23
"hai trái tim bánh xèo bánh xèo nhựt có thêm mì nha , kiểu hiroshima .",0,0,0,0,0,0,0,0,2,0,0,0,11
"nói chung là ưng , sẽ còn quay lại tiếp , , , .",0,0,0,0,3,0,0,0,0,0,0,0,10
"không gian lịch sự , sạch sẽ .",0,0,0,0,0,0,0,3,0,0,0,0,6
"lớp cake cream ngon tuyệt , ngậy ngậy mà không bị ngọt .",0,0,0,3,0,0,0,0,0,0,0,0,11
"topping như thanh cua , mực .",0,0,0,0,0,0,0,0,2,0,0,0,5
"sao giá cả cũng hợp lý , không rẻ cũng không quá đắt .",0,0,2,0,0,0,0,0,0,0,0,0,11
một phen mất mặt với bạn bè vì recommend một chỗ quá tệ .,0,0,0,0,1,0,0,0,0,0,0,0,13
"mình thích nhất là phần không gian ngoài vườn , dân dã .",0,0,0,0,0,0,0,3,0,0,0,0,11
thấy rw tốt nên ship đến nhà ăn thữ .,0,0,0,0,3,0,0,0,0,0,0,0,9
"phục vụ ở đây chỉ có cô khá lớn tuổi nhưng cũng nhanh nhẹn lắm , mình không phải đợi lâu , và cô cũng rất nhiệt tình vui vẻ .",0,0,0,0,0,3,0,0,0,0,0,0,28
mình gọi 1 trà sữa socola 70 phần trăm đường size m nhưng phải nói là quá ngọt .,0,2,0,0,0,0,1,0,0,0,0,0,17
rau đem ra cho khách thì bị đen hết phần đầu .,0,0,0,1,0,0,0,0,0,0,0,0,11
nói chung là một địa chỉ lí tưởng để dẫn bạn bè tới nói chuyện ăn bánh uống nước đồ khuôn mặt cười toe toét với đôi mắt cười khuôn mặt cười toe toét với đôi mắt cười khuôn mặt cười toe toét với đôi mắt cười khuôn mặt cười toe toét với đôi mắt cười .,0,0,0,0,3,0,0,0,0,0,0,0,21
